199712;2;12/1997;2;;;199701;0;01/1997;0
199802;2;02/1998;2;;;199702;0;02/1997;0
199804;1;04/1998;1;;;199703;0;03/1997;0
199910;1;10/1999;1;;;199704;0;04/1997;0
199912;1;12/1999;1;;;199705;0;05/1997;0
200009;2;09/2000;2;;;199706;0;06/1997;0
200101;1;01/2001;1;;;199707;0;07/1997;0
200102;1;02/2001;1;;;199708;0;08/1997;0
200106;2;06/2001;2;;;199709;0;09/1997;0
200201;1;01/2002;1;;;199710;0;10/1997;0
200205;1;05/2002;1;;;199711;0;11/1997;0
200211;1;11/2002;1;;;199712;0;12/1997;2
200212;1;12/2002;1;;;199801;0;01/1998;0
200310;3;10/2003;3;;;199802;0;02/1998;2
200311;1;11/2003;1;;;199803;0;03/1998;0
200401;3;01/2004;3;;;199804;0;04/1998;1
200404;1;04/2004;1;;;199805;0;05/1998;0
200412;1;12/2004;1;;;199806;0;06/1998;0
200506;1;06/2005;1;;;199807;0;07/1998;0
200507;1;07/2005;1;;;199808;0;08/1998;0
200508;1;08/2005;1;;;199809;0;09/1998;0
200509;1;09/2005;1;;;199810;0;10/1998;0
200601;1;01/2006;1;;;199811;0;11/1998;0
200608;1;08/2006;1;;;199812;0;12/1998;0
200612;1;12/2006;1;;;199901;0;01/1999;0
200701;1;01/2007;1;;;199902;0;02/1999;0
200706;1;06/2007;1;;;199903;0;03/1999;0
200707;3;07/2007;3;;;199904;0;04/1999;0
200708;9;08/2007;9;;;199905;0;05/1999;0
200709;3;09/2007;3;;;199906;0;06/1999;0
200710;1;10/2007;1;;;199907;0;07/1999;0
200711;7;11/2007;7;;;199908;0;08/1999;0
200712;3;12/2007;3;;;199909;0;09/1999;0
200801;91;01/2008;91;;;199910;0;10/1999;1
200802;84;02/2008;84;;;199911;0;11/1999;0
200803;69;03/2008;69;;;199912;0;12/1999;1
200804;82;04/2008;82;;;200001;0;01/2000;0
200805;86;05/2008;86;;;200002;0;02/2000;0
200806;7;06/2008;7;;;200003;0;03/2000;0
200807;71;07/2008;71;;;200004;0;04/2000;0
200808;89;08/2008;89;;;200005;0;05/2000;0
200809;79;09/2008;79;;;200006;0;06/2000;0
200810;78;10/2008;78;;;200007;0;07/2000;0
200811;87;11/2008;87;;;200008;0;08/2000;0
200812;76;12/2008;76;;;200009;0;09/2000;2
200901;9;01/2009;9;;;200010;0;10/2000;0
200902;65;02/2009;65;;;200011;0;11/2000;0
200903;79;03/2009;79;;;200012;0;12/2000;0
200904;74;04/2009;74;;;200101;0;01/2001;1
200905;71;05/2009;71;;;200102;0;02/2001;1
200906;99;06/2009;99;;;200103;0;03/2001;0
200907;69;07/2009;69;;;200104;0;04/2001;0
200908;76;08/2009;76;;;200105;0;05/2001;0
200909;81;09/2009;81;;;200106;0;06/2001;2
200910;71;10/2009;71;;;200107;0;07/2001;0
200911;58;11/2009;58;;;200108;0;08/2001;0
200912;64;12/2009;64;;;200109;0;09/2001;0
201001;71;01/2010;71;;;200110;0;10/2001;0
201002;61;02/2010;61;;;200111;0;11/2001;0
201003;87;03/2010;87;;;200112;0;12/2001;0
201004;56;04/2010;56;;;200201;0;01/2002;1
201005;77;05/2010;77;;;200202;0;02/2002;0
201006;8;06/2010;8;;;200203;0;03/2002;0
201007;55;07/2010;55;;;200204;0;04/2002;0
201008;79;08/2010;79;;;200205;0;05/2002;1
201009;7;09/2010;7;;;200206;0;06/2002;0
201010;71;10/2010;71;;;200207;0;07/2002;0
201011;59;11/2010;59;;;200208;0;08/2002;0
201012;66;12/2010;66;;;200209;0;09/2002;0
201101;71;01/2011;71;;;200210;0;10/2002;0
201102;77;02/2011;77;;;200211;0;11/2002;1
201103;71;03/2011;71;;;200212;0;12/2002;1
201104;68;04/2011;68;;;200301;0;01/2003;0
201105;73;05/2011;73;;;200302;0;02/2003;0
201106;67;06/2011;67;;;200303;0;03/2003;0
201107;61;07/2011;61;;;200304;0;04/2003;0
201108;9;08/2011;9;;;200305;0;05/2003;0
201109;73;09/2011;73;;;200306;0;06/2003;0
201110;79;10/2011;79;;;200307;0;07/2003;0
201111;71;11/2011;71;;;200308;0;08/2003;0
201112;76;12/2011;76;;;200309;0;09/2003;0
201201;78;01/2012;78;;;200310;0;10/2003;3
201202;79;02/2012;79;;;200311;0;11/2003;1
201203;91;03/2012;91;;;200312;0;12/2003;3
201204;77;04/2012;77;;;200401;0;01/2004;0
201205;92;05/2012;92;;;200402;0;02/2004;0
201206;92;06/2012;92;;;200403;0;03/2004;0
201207;95;07/2012;95;;;200404;0;04/2004;1
201208;96;08/2012;96;;;200405;0;05/2004;0
201209;98;09/2012;98;;;200406;0;06/2004;0
201210;126;10/2012;126;;;200407;0;07/2004;0
201211;121;11/2012;121;;;200408;0;08/2004;0
201212;72;12/2012;72;;;200409;0;09/2004;0
201301;94;01/2013;94;;;200410;0;10/2004;0
201302;89;02/2013;89;;;200411;0;11/2004;0
201303;94;03/2013;94;;;200412;0;12/2004;1
201304;84;04/2013;84;;;200501;0;01/2005;0
201305;95;05/2013;95;;;200502;0;02/2005;0
201306;88;06/2013;88;;;200503;0;03/2005;0
201307;88;07/2013;88;;;200504;0;04/2005;0
201308;94;08/2013;94;;;200505;0;05/2005;0
201309;93;09/2013;93;;;200506;0;06/2005;1
201310;85;10/2013;85;;;200507;0;07/2005;1
201311;98;11/2013;98;;;200508;0;08/2005;1
201312;83;12/2013;83;;;200509;0;09/2005;1
201401;101;01/2014;101;;;200510;0;10/2005;0
201402;95;02/2014;95;;;200511;0;11/2005;0
201403;111;03/2014;111;;;200512;0;12/2005;0
201404;79;04/2014;79;;;200601;0;01/2006;1
201405;113;05/2014;113;;;200602;0;02/2006;0
201406;9;06/2014;9;;;200603;0;03/2006;0
201407;97;07/2014;97;;;200604;0;04/2006;0
201408;99;08/2014;99;;;200605;0;05/2006;0
201409;103;09/2014;103;;;200606;0;06/2006;0
201410;106;10/2014;106;;;200607;0;07/2006;0
201411;11;11/2014;11;;;200608;0;08/2006;1
201412;95;12/2014;95;;;200609;0;09/2006;0
201501;11;01/2015;11;;;200610;0;10/2006;0
201502;96;02/2015;96;;;200611;0;11/2006;0
201503;113;03/2015;113;;;200612;0;12/2006;1
201504;95;04/2015;95;;;200701;0;01/2007;1
201505;102;05/2015;102;;;200702;0;02/2007;0
201506;116;06/2015;116;;;200703;0;03/2007;0
201507;105;07/2015;105;;;200704;0;04/2007;0
201508;114;08/2015;114;;;200705;0;05/2007;0
201509;95;09/2015;95;;;200706;0;06/2007;1
201510;122;10/2015;122;;;200707;0;07/2007;3
201511;108;11/2015;108;;;200708;0;08/2007;9
201512;94;12/2015;94;;;200709;0;09/2007;3
201601;1;01/2016;1;;;200710;0;10/2007;1
201602;97;02/2016;97;;;200711;0;11/2007;7
201603;74;03/2016;74;;;200712;0;12/2007;3
;;;;;;200801;0;01/2008;91
;;;;;;200802;0;02/2008;84
;;;;;;200803;0;03/2008;69
;;;;;;200804;0;04/2008;82
;;;;;;200805;0;05/2008;86
;;;;;;200806;0;06/2008;7
;;;;;;200807;0;07/2008;71
;;;;;;200808;0;08/2008;89
;;;;;;200809;0;09/2008;79
;;;;;;200810;0;10/2008;78
;;;;;;200811;0;11/2008;87
;;;;;;200812;0;12/2008;76
;;;;;;200901;0;01/2009;9
;;;;;;200902;0;02/2009;65
;;;;;;200903;0;03/2009;79
;;;;;;200904;0;04/2009;74
;;;;;;200905;0;05/2009;71
;;;;;;200906;0;06/2009;99
;;;;;;200907;0;07/2009;69
;;;;;;200908;0;08/2009;76
;;;;;;200909;0;09/2009;81
;;;;;;200910;0;10/2009;71
;;;;;;200911;0;11/2009;58
;;;;;;200912;0;12/2009;64
;;;;;;201001;0;01/2010;71
;;;;;;201002;0;02/2010;61
;;;;;;201003;0;03/2010;87
;;;;;;201004;0;04/2010;56
;;;;;;201005;0;05/2010;77
;;;;;;201006;0;06/2010;8
;;;;;;201007;0;07/2010;55
;;;;;;201008;0;08/2010;79
;;;;;;201009;0;09/2010;7
;;;;;;201010;0;10/2010;71
;;;;;;201011;0;11/2010;59
;;;;;;201012;0;12/2010;66
;;;;;;201101;0;01/2011;71
;;;;;;201102;0;02/2011;77
;;;;;;201103;0;03/2011;71
;;;;;;201104;0;04/2011;68
;;;;;;201105;0;05/2011;73
;;;;;;201106;0;06/2011;67
;;;;;;201107;0;07/2011;61
;;;;;;201108;0;08/2011;9
;;;;;;201109;0;09/2011;73
;;;;;;201110;0;10/2011;79
;;;;;;201111;0;11/2011;71
;;;;;;201112;0;12/2011;76
;;;;;;201201;0;01/2012;78
;;;;;;201202;0;02/2012;79
;;;;;;201203;0;03/2012;91
;;;;;;201204;0;04/2012;77
;;;;;;201205;0;05/2012;92
;;;;;;201206;0;06/2012;92
;;;;;;201207;0;07/2012;95
;;;;;;201208;0;08/2012;96
;;;;;;201209;0;09/2012;98
;;;;;;201210;0;10/2012;126
;;;;;;201211;0;11/2012;121
;;;;;;201212;0;12/2012;72
;;;;;;201301;0;01/2013;94
;;;;;;201302;0;02/2013;89
;;;;;;201303;0;03/2013;94
;;;;;;201304;0;04/2013;84
;;;;;;201305;0;05/2013;95
;;;;;;201306;0;06/2013;88
;;;;;;201307;0;07/2013;88
;;;;;;201308;0;08/2013;94
;;;;;;201309;0;09/2013;93
;;;;;;201310;0;10/2013;85
;;;;;;201311;0;11/2013;98
;;;;;;201312;0;12/2013;83
;;;;;;201401;0;01/2014;101
;;;;;;201402;0;02/2014;95
;;;;;;201403;0;03/2014;111
;;;;;;201404;0;04/2014;79
;;;;;;201405;0;05/2014;113
;;;;;;201406;0;06/2014;9
;;;;;;201407;0;07/2014;97
;;;;;;201408;0;08/2014;99
;;;;;;201409;0;09/2014;103
;;;;;;201410;0;10/2014;106
;;;;;;201411;0;11/2014;11
;;;;;;201412;0;12/2014;95
;;;;;;201501;0;01/2015;11
;;;;;;201502;0;02/2015;96
;;;;;;201503;0;03/2015;113
;;;;;;201504;0;04/2015;95
;;;;;;201505;0;05/2015;102
;;;;;;201506;0;06/2015;116
;;;;;;201507;0;07/2015;105
;;;;;;201508;0;08/2015;114
;;;;;;201509;0;09/2015;95
;;;;;;201510;0;10/2015;122
;;;;;;201511;0;11/2015;108
;;;;;;201512;0;12/2015;94
;;;;;;201601;0;01/2016;1
;;;;;;201602;0;02/2016;97
;;;;;;201603;0;03/2016;74
;;;;;;201604;0;04/2016;0
;;;;;;201605;0;05/2016;0
;;;;;;201606;0;06/2016;0
;;;;;;201607;0;07/2016;0
;;;;;;201608;0;08/2016;0
;;;;;;201609;0;09/2016;0
;;;;;;201610;0;10/2016;0
;;;;;;201611;0;11/2016;0
;;;;;;201612;0;12/2016;0
